,Factor_0,Factor_1,Factor_2,Factor_3,Factor_4,Factor_5,Factor_6,Factor_7,Factor_8,Factor_9,Factor_10,Factor_11,Factor_12,Factor_13,Factor_14,Factor_15,Factor_16,Factor_17,Factor_18,Factor_19
System Administration and Cloud Computing,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Security Management,0.0,0.0,0.0,0.0,0.0,0.3455714922440389,0.0,0.0,0.0,0.37919303354429107,0.0,0.0,0.0,0.0,0.0,0.0,0.2934295538454091,0.0,0.0,0.0
"Use of Educational Technology (e.g., GeoGebra, Desmos)",0.00011703574652409208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0718299163638974,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Outdoor Recreation Program Planning,0.0,0.0,0.0,0.0,0.009338951742673539,0.0,0.0,1.833732077599565e-148,0.0,0.0,1.1584172035402052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Operating Systems,0.0,0.0,0.0,0.0,0.0,5.047128650454795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Social Movements and Revolution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23263852632459334,0.0,0.03721672662085233,0.0,0.0
Cryptography,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9933004704201264e-45,0.0,0.0,0.0,0.0,0.8588227368985851,0.0,0.0,0.0
Crisis Communication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954515916613899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Survey Design and Analysis,0.0,0.0,0.0,1.3961476568238906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Voice Modulation and Clarity,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Entity Framework,0.0,0.03221866556034682,2.693749972573595e-83,3.9861746177184184e-07,0.0,0.0,0.0,0.0,0.00041191652862757066,0.2761827954598932,0.012027948718833342,0.0,0.0,0.0034229952462365913,0.07134538802048279,0.001120876499297248,0.0,0.0,0.0,2.6590294357127718e-08
Dependency Injection,0.0,0.0010123491495198425,4.219621817804555e-84,6.244139044285064e-08,0.0,0.0,0.0,0.0,0.0,0.16432569381887616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1652429150223685e-09
Interpersonal Communication,0.6756578263280469,0.0,0.0,0.0,0.0,0.0,2.285586923329974,0.0,0.0,0.0,0.0,2.844150427413615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Instructional Design for Tech Courses,0.0,0.0,4.8640998198893535e-80,0.0007197828840932494,0.0,0.0,0.0,0.0,0.0,0.026445611450344443,0.010593745697496597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8013741756165106e-05
Basic First Aid and Emergency Skills,0.0,0.0,0.7638543338470203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathematical Reasoning,0.00017555361978613813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1077448745458462,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Techniques and Media in Visual Arts (Painting, Sculpture, Photography)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7888672671051646,0.0,0.0
Cultural and Economic Imperialism,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Combinational Logic Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.41484524828385
History of Scientific Development and Innovation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Threat Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3288669802800847e-45,0.0,0.0,0.0,0.0,0.5725484912657234,0.0,0.0,0.0
Global Conflict and Peacebuilding,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Virtualization,0.0,0.0,0.0,0.0,0.0,2.1512781817804316,0.0,0.0,0.0,0.0,0.0,2.046640917605153e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathematical Proofs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25305903742609476,0.0,0.0,0.0,2.587727790207697,0.0,0.0,0.0,0.0,0.0,0.004466143657482972,0.0
Clear and Concise Communication in IT,3.016551990004848e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4525543044626303,0.0,0.0,0.0,0.0,0.0,0.0
Data Visualization Techniques,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0008298648675553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Platform Architecture and Virtualization,0.0,0.0,0.0,0.0,0.0,1.9324184846030374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Presentation of Research Findings,0.0,0.0,0.0,1.3961476568238906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Performance Feedback and Evaluation,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Water Sports (e.g., Kayaking, Rafting)",0.0,0.0,0.0,0.0,0.009338951742673539,0.0,0.0,1.833732077599565e-148,0.0,0.0,1.1584172035402052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technology Transfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08899879058581966,0.0,0.0,0.0,0.0,0.0,1.3860927308691894e-56,0.0,0.0,0.0
Instructional Design for Tech Subjects,0.0,0.0,0.0,0.0,0.0,3.2227513853253575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Business Modeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.677400512661212e-124,0.0,0.0
Ethics in Data Collection and Analysis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367261368813779,0.0,0.0,0.0,0.5120023436027916,0.0,0.0,0.0,0.0,0.0,0.00890287305886977,0.0
IT Budgeting,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Communication Theory,0.6755738224897142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.843149854024821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fitness Assessment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499843987668041e-19,0.0,0.0,0.0,6.029661651250351e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.122891167532266e-16,0.0
Physical Fitness Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.499843987668041e-19,0.0,0.0,0.0,6.029661651250351e-12,0.0,0.0,0.0,0.0,0.0,0.0,5.122891167532266e-16,0.0
Software Testing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3928504829162835,0.0,0.0,0.0,0.009988404692170202,0.0,0.0,0.0,0.0,0.0,0.0
"Technology and Society Debates (e.g., Privacy, AI, Biotechnology)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Test Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Bug Tracking and Issue Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26190032194418894,0.0,0.0,0.0,0.006658936461446802,0.0,0.0,0.0,0.0,0.0,0.0
Network Security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3328582728887722e-45,0.0,0.0,0.0,0.0,3.3791017245184367,0.0,0.0,0.0
Deployment and Continuous Integration (CI/CD),0.0,0.004414093380091832,0.0,0.0,0.0,0.0,0.0,0.0,0.0008941616375956738,0.4216247645388269,0.00959065065772925,0.0,0.0,0.0,0.032385525999774074,0.0014904672492303576,0.0,0.0,0.0,0.0
Python Programming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.761797888799106e-142,0.0,0.0,0.0,0.0,0.0,0.0
"Educational Technology Tools (e.g., LMS, Google Workspace)",0.0,0.0,0.0,0.0,0.0,2.148500923550238,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Report Writing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8431773874920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Applied Ethics,0.0,0.0,0.0,0.0,2.1035042078378465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Group Exercise Instruction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
Computational Mathematics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3367261368813779,0.0,0.0,0.0,0.5120023436027916,0.0,0.0,0.0,0.0,0.0,0.00890287305886977,0.0
Code Review and Visual Feedback Techniques,0.0,0.0,3.2427332132595694e-80,0.0004798552560621663,0.0,0.0,0.0,0.0,0.0,0.017630407633562963,0.007062497131664398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.200916117077674e-05
Software Documentation and Maintenance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9675246629143586,0.0,0.0,0.0,0.0,0.0
Mindfulness and Self-Awareness,0.00011747571298553145,0.0,0.0,0.0,0.0,0.0,3.4591999210303452,0.0,0.0,0.0,0.0,0.0014024814901426891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Financial Analysis,0.0,0.0,3.1958641790562525e-94,0.0,0.0,0.0,0.0,0.0,1.3619166587700655e-37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Signal Processing Algorithms,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.654905561922708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Statistical Analysis,0.0,0.0,0.0,2.0942214852358356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Windows Development,0.0,0.031092726039336663,2.240407121326707e-83,3.315324024880475e-07,0.0,0.0,0.0,0.0,0.0009889975752821016,0.11141468406703002,0.014246152499242297,0.0,0.0,0.006861952167804327,0.07942370297627939,0.0017913340685956583,0.0,0.0,0.0,2.211529110843666e-08
Audience Analysis and Adaptation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8431773874920845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Introduction to Algorithms,0.0,0.0,0.0,0.0,0.0,1.074250461775119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User Feedback and Iterative Design,0.0,0.0,0.0,0.0,0.0,0.0,0.8222914149859736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SQLite Database Integration,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002628872243828786,0.14154698942447305,0.021108870990545973,0.0,0.0,0.00556193260480418,0.013699286086440774,0.0038697459926207984,0.0,0.0,0.0,0.0
User Interface (UI) and User Experience (UX) Design,0.0,0.26754300190783853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15244722789337176,0.0,0.0,0.0,0.0,0.0
Performance Optimization and Code Profiling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Dance Instruction,0.0,0.0,0.0,9.443788376192183e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Agile Methodologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4951739102842991,0.004013251215811233,0.0,0.0,0.19037243022326591,0.0,0.0,0.0,0.0,0.0,0.0
"Cloud Platforms (AWS, Azure, Google Cloud)",0.0,0.006969582336428465,0.0,0.0,0.0,0.0,0.0,0.0,0.08492858478529251,0.10076449441506903,0.23670514627134498,0.0,0.0,0.011194927197209688,0.3458461053850543,0.092675478955084,0.0,0.0,0.0,0.0
Applied Ethics and Moral Decision-Making,0.0,0.0,0.0,0.0,2.1035042078378465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
User Research,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.804136900441513e-140,0.0,0.0,4.8307221091674566e-142
Teaching Programming Concepts,0.0,0.3418106238714822,0.0,0.0,0.0,0.0,0.0,0.0,0.0030186371558901504,0.0,0.036930186572467265,0.0,0.0,0.0,0.0,0.00468885664241615,0.0,0.0,0.0,0.0
Transactions and Concurrency Control,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.110276418912365,0.0
Hypothesis Testing,0.0,0.0,0.0,2.0942214852358356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Museum and Gallery Studies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7888672671051646,0.0,0.0
Research Ethics,0.0,0.0,0.0,2.0942214852358356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industry Standards,0.0,0.0,0.0,0.0,0.0,0.09479207177648437,0.0,0.0,0.0,0.0,0.0,1.7710259323100122e-47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Refactoring Techniques and Best Practices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2275345382247822,0.0,0.0,0.0,0.0,0.0
Probability Theory,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3436363203693804,0.0,0.0,0.0,0.3722431890563373,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CSS,0.0,0.0,4.8640998198893535e-80,0.0007197828840932494,0.0,0.0,0.0,0.0,0.0,0.026445611450344443,0.010593745697496597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8013741756165106e-05
"Push Notifications (Firebase, OneSignal)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014136095012676948,0.0016262432967643747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Technical Writing,0.4503836077098403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8418377700407618,0.0,2.449448395604148,0.0,0.0,0.0,0.0,0.0,0.0
Critical Thinking,6.723245903096329e-05,0.0,0.0,0.0,2.2015530913978667,0.0,0.0,0.0,0.0,0.0,0.0,3.053347197168597,3.3200332990110986,0.0,0.0,0.0,0.0,0.06147785899741513,0.0,0.0
Cognitive Psychology,0.0,0.0,0.0,0.0,0.0,0.0,3.1284302970145785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Art Appreciation Techniques and Teaching Methods,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1833009006577468,0.0,0.0
PowerPoint and Other Presentation Tools,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
Research Methods in Psychology,7.831714199035402e-05,0.0,0.0,0.0,0.0,0.0,2.306133280686897,0.0,0.0,0.0,0.0,0.0009349876600951257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rizal and the Catholic Church in the Philippines,0.0,0.0,0.0,0.0,0.001736513531211177,0.0,0.0,0.0,0.0,0.0,0.0,0.005535956558460592,0.013190305739623919,0.0,0.0,0.047947794141245406,0.0,0.05658244732262675,0.0,0.0
Analytics Tools,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.118267008440806e-124,0.0,0.0
Adventure Activities,0.0,0.0,0.0,0.0,0.014008427614010305,0.0,0.0,2.750598116399346e-148,0.0,0.0,1.7376258053103075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Competitive Sports and Team Building,0.0,0.0,0.0,6.295858917461456e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Semiotics and Symbolic Interaction,0.4503868778468239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1826830123012265e-12,0.0,0.0
Time and Space Complexity Analysis,0.0,1.0227701203358457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Visual Aids and Infographics for Technical Content,2.01103466000324e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6350362029750867,0.0,0.0,0.0,0.0,0.0,0.0
"Graph Algorithms (e.g., Dijkstra's Algorithm, A* Search)",0.0,0.6818467468905638,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Switching Techniques (e.g., VLAN, STP)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
Database Security,0.0,0.0,0.0,0.0,0.0,0.0,4.666101299979737e-34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7051392899694191,0.0
Mobile Architecture,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021204142519015423,0.002439364945146562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Responsive Web Design,0.0,0.0,2.4401598115563755e-81,3.610915342708494e-05,0.0,0.0,0.0,0.0,0.003448829227216008,0.09066565121179325,0.02400188049327912,0.0,0.0,0.010225468185365773,0.012696887798228848,0.004728746004612859,0.0,0.0,0.0,2.4086925307749607e-06
Database Management and Integration,0.0,0.26754300190783853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15244722789337176,0.0,0.0,0.0,0.0,0.0
The Legacy of Dr. Jose Rizal in Modern Philippine Society,0.0,0.0,0.0,0.0,0.001736513531211177,0.0,0.0,0.0,0.0,0.0,0.0,0.005535956558460592,0.013190305739623919,0.0,0.0,0.047947794141245406,0.0,0.05658244732262675,0.0,0.0
"Web Development Frameworks (e.g., Angular, React)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6001320675970111,0.0,0.0,0.0,0.0,0.11687106158516378,0.0,0.0,0.0,0.2620593193310064,0.0
Social Justice,0.00015483208673191346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8383651483116745,0.0,0.0,0.0,0.0
Ethical Decision-Making Models,0.0,0.0,0.0,0.0,2.1035042078378465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Networking Fundamentals,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9823583428840617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Community Fitness Initiatives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.197186363728157e-20,0.0,0.0,0.0,3.2954267691783053e-12,0.0,0.0,0.0,0.0,0.0,0.0,2.7998441148969175e-16,0.0
UML Diagrams,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.609985187034365,0.0,0.0,0.0,0.0,0.0
Professional Practice,0.0,0.0,0.0,0.0,0.0,0.0,4.0446978768518655e-52,4.157208204700531e-74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Language and Media Criticism,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8954515916613899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
International Law and Global Security,0.0,0.0,0.0,0.0,0.06870624370127783,0.0,1.7406836117190203e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citation and Referencing Styles,0.6755803167702359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2740245184351663e-12,0.0,0.0
Routing and Switching Protocols,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9823583428840617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Automation Testing Tools (Selenium, JUnit)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027016348170836924,0.29162349103712054,0.021249236997399237,0.0,0.0,0.21561227931309954,0.0011271395772169607,0.0038477546759889754,0.0,0.0,0.0,0.0
Philosophical Debate and Discussion,0.0,0.0,0.0,0.0,1.4023361385585644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ethics of Artificial Intelligence and Automation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3126215089519335,0.0,0.0,0.0,0.0
Network Configuration Management,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.264520536850237,0.0,0.0,0.0
